ID,Created,Name,Description,Playlist URL
35d7129478c44b9aa2506a09b26cdf92,2025-05-03T14:09:10Z,Hereditary,Your favorite song that was your parents favorite song,https://open.spotify.com/playlist/27t8eO7QM28kjctbOJwP2J
4260362260b542f589cce746cbab7946,2025-05-03T14:09:10Z,27 Club,Your favorite track from an artist that was gone too soon,https://open.spotify.com/playlist/0nyi1RrAXiulHBkP2Wnj4I
2ac40918adff467698794093b0c978dc,2025-05-03T14:09:10Z,Shorties,Songs that are less than 2 minutes long,https://open.spotify.com/playlist/5HYxAJEViY6udX2U02kNUn
cc1347c5c926441f8fb1723898d0a04a,2025-05-03T14:09:11Z,Free Space,"No Rules, Just Vibes",https://open.spotify.com/playlist/2WgtGoU6wlR41AvdRY8V9p
90fd2b355279451d9cf29375267041ab,2025-05-03T14:09:12Z,Soaking,Songs that reference a body of water or other aquatic connotation in the title or lyrics ,https://open.spotify.com/playlist/4DJjLvhHPbyYss0op5UBNS
55461eb850114c428c06972990dd7518,2025-05-03T14:09:13Z,Slept On,Songs by artists with less than 400k Spotify listeners,https://open.spotify.com/playlist/0MxmDyiRZSdfuKW0QE33kz
3da552ee76474394b85b26cd8edf6f3e,2025-05-03T14:09:14Z,Mr Please Cover Suggestions ,What song should Mr Please play at their next show,https://open.spotify.com/playlist/4aCcagpHfgvebTNLYtUBwP
5d67b508bd3943d7a2d0b2ea030733ce,2025-05-03T14:09:14Z,The New New,Favorite track released so far in 2025,https://open.spotify.com/playlist/2FfUw8dyZdjd9xunDoxkDa
b7ff3d1cb619421ca248e840c627a391,2025-05-03T14:09:15Z,Oroku Saki,Track that displays your favorite guitar performance,https://open.spotify.com/playlist/4tGzFzjDVSN2kASuTKP3n6
05537930116f4e479f87c2f9e7c48e65,2025-05-03T14:09:15Z,Taking My Talents,Favorite track by an artist who went solo after achieving fame in a group,https://open.spotify.com/playlist/6POElWq5XK7DX8pXbg3gLh
